Comment,Designator,Footprint,LCSC
SSSS811101,SW2,SSSS811101,C109335
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
10u,C4,C_0805_2012Metric,C15850
Conn_01x04,J1,JST-SR-4,C160404
10k,"R1,R2",R_0805_2012Metric,C17414
22,"R3,R4",R_0805_2012Metric,C17561
22p,"C5,C6",C_0805_2012Metric,C1804
1u,C7,C_0805_2012Metric,C28323
WS2812B,"DL1,DL10,DL11,DL12,DL13,DL14,DL15,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885
0.1u,"C1,C2,C3",C_0805_2012Metric,C49678
1u,"K0,K1,K10,K11,K12,K13,K14,K15,K16,K17,K18,K2,K20,K21,K22,K23,K24,K25,K26,K27,K3,K30,K31,K32,K33,K34,K35,K36,K38,K4,K40,K41,K42,K43,K44,K45,K46,K5,K50,K51,K52,K53,K54,K6,K60,K61,K62,K63,K64,K7,K70,K71,K72,K73,K74,K8,K81,K82,K83,K84,K88",MX100H,C5156480
SM4007,"D0,D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D2,D20,D21,D22,D23,D24,D25,D26,D27,D3,D30,D31,D32,D33,D34,D35,D36,D38,D4,D40,D41,D42,D43,D44,D45,D46,D5,D50,D51,D52,D53,D54,D6,D60,D61,D62,D63,D64,D7,D70,D71,D72,D73,D74,D8,D81,D82,D83,D84,D88",D_SOD-123F,C64898
