Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,-282.5,-52.761,0.0,top
C2,0.1u,C_0805_2012Metric,-282.5,-55.174,0.0,top
C3,0.1u,C_0805_2012Metric,-282.5,-57.587,0.0,top
C4,10u,C_0805_2012Metric,-282.5,-60.0,0.0,top
C5,22p,C_0805_2012Metric,-286.0,-64.2,180.0,top
C6,22p,C_0805_2012Metric,-286.0,-71.4,0.0,top
C7,1u,C_0805_2012Metric,-278.3164,-55.2192,180.0,top
D0,SM4007,D_SOD-123F,-5.15,-14.5625,0.0,top
D1,SM4007,D_SOD-123F,-42.8046,-12.2956,0.0,top
D2,SM4007,D_SOD-123F,-78.136,-11.4574,180.0,top
D3,SM4007,D_SOD-123F,-121.15,-14.5625,0.0,top
D4,SM4007,D_SOD-123F,-159.65,-14.5625,0.0,top
D5,SM4007,D_SOD-123F,-198.15,-14.5625,0.0,top
D6,SM4007,D_SOD-123F,-203.3326,-14.6578,180.0,top
D7,SM4007,D_SOD-123F,-228.253,-9.931,0.0,top
D8,SM4007,D_SOD-123F,-254.666,-9.9334,180.0,top
D10,SM4007,D_SOD-123F,-20.986,-36.5145,0.0,top
D11,SM4007,D_SOD-123F,-59.086,-36.5145,0.0,top
D12,SM4007,D_SOD-123F,-82.5,-31.1,90.0,top
D13,SM4007,D_SOD-123F,-132.619,-32.514,0.0,top
D14,SM4007,D_SOD-123F,-170.338,-32.514,0.0,top
D15,SM4007,D_SOD-123F,-208.311,-32.387,0.0,top
D16,SM4007,D_SOD-123F,-227.869,-32.514,0.0,top
D17,SM4007,D_SOD-123F,-238.283,-32.387,0.0,top
D18,SM4007,D_SOD-123F,-256.825,-32.387,180.0,top
D20,SM4007,D_SOD-123F,-25.685,-55.4375,0.0,top
D21,SM4007,D_SOD-123F,-52.609,-50.167,180.0,top
D22,SM4007,D_SOD-123F,-87.788,-39.268,180.0,top
D23,SM4007,D_SOD-123F,-125.637,-39.141,180.0,top
D24,SM4007,D_SOD-123F,-165.65,-52.0625,90.0,top
D25,SM4007,D_SOD-123F,-202.091,-39.141,0.0,top
D26,SM4007,D_SOD-123F,-221.014,-39.141,0.0,top
D27,SM4007,D_SOD-123F,-241.1278,-46.4078,90.0,top
D30,SM4007,D_SOD-123F,-30.511,-74.3605,0.0,top
D31,SM4007,D_SOD-123F,-57.2826,-69.217,180.0,top
D32,SM4007,D_SOD-123F,-94.141,-70.129,90.0,top
D33,SM4007,D_SOD-123F,-143.65,-71.0625,90.0,top
D34,SM4007,D_SOD-123F,-171.4586,-71.9094,0.0,top
D35,SM4007,D_SOD-123F,-221.011,-74.6145,0.0,top
D36,SM4007,D_SOD-123F,-245.525,-71.78,0.0,top
D38,SM4007,D_SOD-123F,-282.0,-30.3,90.0,top
D40,SM4007,D_SOD-123F,-48.04,-70.891,90.0,top
D41,SM4007,D_SOD-123F,-77.885,-86.385,0.0,top
D42,SM4007,D_SOD-123F,-83.473,-86.385,180.0,top
D43,SM4007,D_SOD-123F,-126.399,-88.417,180.0,top
D44,SM4007,D_SOD-123F,-161.959,-88.798,0.0,top
D45,SM4007,D_SOD-123F,-181.009,-88.798,0.0,top
D46,SM4007,D_SOD-123F,-200.44,-88.798,180.0,top
D50,SM4007,D_SOD-123F,-31.15,-51.0625,0.0,top
D51,SM4007,D_SOD-123F,-76.107,-71.78,0.0,top
D52,SM4007,D_SOD-123F,-109.251,-68.3915,90.0,top
D53,SM4007,D_SOD-123F,-151.0,-70.0,0.0,top
D54,SM4007,D_SOD-123F,-185.454,-68.224,180.0,top
D60,SM4007,D_SOD-123F,-28.86,-31.244,0.0,top
D61,SM4007,D_SOD-123F,-71.408,-50.294,180.0,top
D62,SM4007,D_SOD-123F,-103.793,-48.793,90.0,top
D63,SM4007,D_SOD-123F,-144.7602,-49.7606,180.0,top
D64,SM4007,D_SOD-123F,-183.041,-39.014,180.0,top
D70,SM4007,D_SOD-123F,-35.0576,-12.1686,0.0,top
