Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,-282.500,-52.761,0.000,top
C2,0.1u,C_0805_2012Metric,-282.500,-55.174,0.000,top
C3,0.1u,C_0805_2012Metric,-282.500,-57.587,0.000,top
C4,10u,C_0805_2012Metric,-282.500,-60.000,0.000,top
C5,22p,C_0805_2012Metric,-286.000,-64.200,180.000,top
C6,22p,C_0805_2012Metric,-286.000,-71.400,0.000,top
C7,1u,C_0805_2012Metric,-278.316,-55.219,180.000,top
D0,SM4007,D_SOD-123F,-5.150,-14.562,0.000,top
D1,SM4007,D_SOD-123F,-42.805,-12.296,0.000,top
D2,SM4007,D_SOD-123F,-78.136,-11.457,180.000,top
D3,SM4007,D_SOD-123F,-121.150,-14.562,0.000,top
D4,SM4007,D_SOD-123F,-159.650,-14.562,0.000,top
D5,SM4007,D_SOD-123F,-198.150,-14.562,0.000,top
D6,SM4007,D_SOD-123F,-203.333,-14.658,180.000,top
D7,SM4007,D_SOD-123F,-228.253,-9.931,0.000,top
D8,SM4007,D_SOD-123F,-254.666,-9.933,180.000,top
D10,SM4007,D_SOD-123F,-20.986,-36.514,0.000,top
D11,SM4007,D_SOD-123F,-59.086,-36.514,0.000,top
D12,SM4007,D_SOD-123F,-82.500,-31.100,90.000,top
D13,SM4007,D_SOD-123F,-132.619,-32.514,0.000,top
D14,SM4007,D_SOD-123F,-170.338,-32.514,0.000,top
D15,SM4007,D_SOD-123F,-208.311,-32.387,0.000,top
D16,SM4007,D_SOD-123F,-227.869,-32.514,0.000,top
D17,SM4007,D_SOD-123F,-238.283,-32.387,0.000,top
D18,SM4007,D_SOD-123F,-256.825,-32.387,180.000,top
D20,SM4007,D_SOD-123F,-25.685,-55.438,0.000,top
D21,SM4007,D_SOD-123F,-52.609,-50.167,180.000,top
D22,SM4007,D_SOD-123F,-87.788,-39.268,180.000,top
D23,SM4007,D_SOD-123F,-125.637,-39.141,180.000,top
D24,SM4007,D_SOD-123F,-165.650,-52.062,90.000,top
D25,SM4007,D_SOD-123F,-202.091,-39.141,0.000,top
D26,SM4007,D_SOD-123F,-221.014,-39.141,0.000,top
D27,SM4007,D_SOD-123F,-241.128,-46.408,90.000,top
D30,SM4007,D_SOD-123F,-30.511,-74.361,0.000,top
D31,SM4007,D_SOD-123F,-57.283,-69.217,180.000,top
D32,SM4007,D_SOD-123F,-94.141,-70.129,90.000,top
D33,SM4007,D_SOD-123F,-143.650,-71.062,90.000,top
D34,SM4007,D_SOD-123F,-171.459,-71.909,0.000,top
D35,SM4007,D_SOD-123F,-221.011,-74.615,0.000,top
D36,SM4007,D_SOD-123F,-245.525,-71.780,0.000,top
D38,SM4007,D_SOD-123F,-282.000,-30.300,90.000,top
D40,SM4007,D_SOD-123F,-48.040,-70.891,90.000,top
D41,SM4007,D_SOD-123F,-77.885,-86.385,0.000,top
D42,SM4007,D_SOD-123F,-83.473,-86.385,180.000,top
D43,SM4007,D_SOD-123F,-126.399,-88.417,180.000,top
D44,SM4007,D_SOD-123F,-161.959,-88.798,0.000,top
D45,SM4007,D_SOD-123F,-181.009,-88.798,0.000,top
D46,SM4007,D_SOD-123F,-200.440,-88.798,180.000,top
D50,SM4007,D_SOD-123F,-31.150,-51.062,0.000,top
D51,SM4007,D_SOD-123F,-76.107,-71.780,0.000,top
